Date,Year,Month,Week,District,Grade,Highest_Price,Average_Price,Source_URL
2016-01-05,2016,1,1,Badulla,Alba,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Badulla,C-4,1450.0,1450.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Badulla,C-5,1600.0,1600.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Badulla,H-2,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Colombo,Alba,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Colombo,C-4,1400.0,1400.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Colombo,C-5,1600.0,1600.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Colombo,H-2,1250.0,1250.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Galle,Alba,2000.0,1950.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Galle,C-4,1550.0,1545.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Galle,C-5,1580.0,1570.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Galle,H-2,1450.0,1445.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Gampaha,Alba,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Gampaha,C-4,1250.0,1100.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Gampaha,C-5,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Gampaha,H-2,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Hambantota,Alba,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Hambantota,C-4,1550.0,1540.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Hambantota,C-5,1700.0,1625.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Hambantota,H-2,1450.0,1440.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Kalutara,Alba,2000.0,2000.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Kalutara,C-4,1450.0,1430.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Kalutara,C-5,1500.0,1500.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Kalutara,H-2,950.0,915.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Kurunegala,Alba,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Kurunegala,C-4,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Kurunegala,C-5,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Kurunegala,H-2,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Matara,Alba,2150.0,2088.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Matara,C-4,1550.0,1493.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Matara,C-5,1600.0,1530.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Matara,H-2,1420.0,1379.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Monaragala,Alba,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Monaragala,C-4,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Monaragala,C-5,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Monaragala,H-2,,,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,National,Alba,2150.0,2017.75,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,National,C-4,1550.0,1421.75,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,National,C-5,1700.0,1565.43,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,National,H-2,1450.0,1276.83,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Ratnapura,Alba,2100.0,2033.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Ratnapura,C-4,1450.0,1416.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Ratnapura,C-5,1600.0,1533.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-05,2016,1,1,Ratnapura,H-2,1250.0,1232.0,https://exagri.info/mkt/2016/1.05-january-2016.html
2016-01-12,2016,1,2,Badulla,Alba,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Badulla,C-4,1450.0,1450.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Badulla,C-5,1500.0,1500.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Badulla,H-2,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Colombo,Alba,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Colombo,C-4,1400.0,1400.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Colombo,C-5,1600.0,1600.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Colombo,H-2,1200.0,1200.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Galle,Alba,2000.0,1950.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Galle,C-4,1550.0,1545.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Galle,C-5,1580.0,1570.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Galle,H-2,1450.0,1445.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Gampaha,Alba,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Gampaha,C-4,1250.0,1125.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Gampaha,C-5,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Gampaha,H-2,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Hambantota,Alba,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Hambantota,C-4,1550.0,1550.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Hambantota,C-5,1600.0,1575.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Hambantota,H-2,1450.0,1425.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Kalutara,Alba,2000.0,2000.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Kalutara,C-4,1450.0,1430.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Kalutara,C-5,1550.0,1520.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Kalutara,H-2,950.0,920.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Kurunegala,Alba,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Kurunegala,C-4,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Kurunegala,C-5,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Kurunegala,H-2,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Matara,Alba,2150.0,2088.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Matara,C-4,1153.0,1520.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Matara,C-5,1600.0,1558.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Matara,H-2,1440.0,1410.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Monaragala,Alba,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Monaragala,C-4,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Monaragala,C-5,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Monaragala,H-2,,,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,National,Alba,2150.0,2017.75,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,National,C-4,1550.0,1425.38,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,National,C-5,1600.0,1549.43,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,National,H-2,1450.0,1266.67,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Ratnapura,Alba,2100.0,2033.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Ratnapura,C-4,1400.0,1383.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Ratnapura,C-5,1550.0,1523.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-12,2016,1,2,Ratnapura,H-2,1200.0,1200.0,https://exagri.info/mkt/2016/1.12-january-2016.html
2016-01-19,2016,1,3,Badulla,Alba,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Badulla,C-4,1450.0,1450.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Badulla,C-5,1500.0,1500.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Badulla,H-2,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Colombo,Alba,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Colombo,C-4,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Colombo,C-5,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Colombo,H-2,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Galle,Alba,2000.0,1975.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Galle,C-4,1550.0,1550.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Galle,C-5,1650.0,1645.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Galle,H-2,1450.0,1445.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Gampaha,Alba,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Gampaha,C-4,1100.0,1050.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Gampaha,C-5,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Gampaha,H-2,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Hambantota,Alba,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Hambantota,C-4,1550.0,1550.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Hambantota,C-5,1600.0,1575.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Hambantota,H-2,1450.0,1425.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kalutara,Alba,2000.0,2000.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kalutara,C-4,1300.0,1260.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kalutara,C-5,1400.0,1365.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kalutara,H-2,870.0,860.0,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kurunegala,Alba,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kurunegala,C-4,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kurunegala,C-5,,,https://exagri.info/mkt/2016/1.19.January-2016.html
2016-01-19,2016,1,3,Kurunegala,H-2,,,https://exagri.info/mkt/2016/1.19.January-2016.html
