ID,Soil_pH,Soil_Moisture_VWC_%,Soil_Temp_C,Rainfall_mm_month,Sunlight_hrs_day,Plant_Age_years,Growth_Rate_cm_month,Annual_Bark_Yield_g_plant,Stress_Classification
1,5.87,35.89,24.84,75.1,5.9,8,5.76,429.63,Optimal
2,5.52,34.56,26.54,132.7,7.4,1,4.25,232.88,Optimal
3,5.96,28.92,24.46,157.3,7.5,8,6.4,398.41,Optimal
4,6.44,23.95,26.01,283.8,8.4,6,3.6,205.61,Slight Deviation
5,5.47,33.58,20.94,210.6,5.0,4,2.42,169.64,Moderate Stress
6,5.47,32.06,27.68,106.5,8.6,13,4.95,365.42,Optimal
7,6.47,31.57,27.0,206.7,3.0,14,2.93,206.38,Slight Deviation
8,6.02,31.62,24.39,94.9,6.4,12,4.92,378.65,Optimal
9,5.34,35.73,29.11,239.5,6.6,8,3.89,280.23,Slight Deviation
10,5.9,26.12,30.0,154.1,8.6,3,2.62,175.95,Slight Deviation
11,5.35,37.04,21.86,174.9,7.5,13,2.44,228.39,High Stress
12,5.34,31.47,24.56,252.9,5.0,4,5.57,430.23,Optimal
13,5.73,39.69,24.54,109.2,5.7,15,3.2,330.11,Slight Deviation
14,4.55,29.4,23.99,103.2,7.9,6,1.5,120.51,High Stress
15,4.65,41.23,29.65,147.9,7.4,11,1.5,175.77,Critical Stress
16,5.29,31.62,26.38,237.1,6.5,7,6.39,488.91,Optimal
17,5.04,28.12,26.15,96.4,6.6,4,4.61,342.08,Optimal
18,5.77,26.77,20.59,40.0,8.8,4,1.5,80.0,Moderate Stress
19,5.1,29.6,29.03,155.2,6.6,7,1.71,124.5,Mild Stress
20,4.82,34.16,23.03,210.3,7.3,6,2.85,191.64,Mild Stress
21,6.41,29.88,27.19,246.0,11.4,13,3.87,320.81,Slight Deviation
22,5.48,27.19,27.89,154.5,4.9,11,3.49,276.56,Near Optimal
23,5.64,29.46,31.35,157.4,4.2,8,1.5,155.19,Moderate Stress
24,4.82,42.75,22.81,243.5,8.9,1,1.5,123.75,Severe Stress
25,5.3,39.24,18.0,77.2,6.3,10,1.5,201.59,Severe Stress
26,5.66,31.7,27.59,158.6,6.9,13,6.01,453.16,Optimal
27,4.97,31.78,32.76,190.5,6.1,11,1.5,120.79,High Stress
28,5.81,29.67,30.96,204.7,7.0,7,2.39,162.99,Mild Stress
29,5.27,33.76,27.67,152.0,10.4,12,2.89,251.21,Near Optimal
30,5.44,25.07,25.43,181.9,8.9,7,5.88,365.22,Optimal
31,5.27,29.4,29.58,43.1,9.1,11,2.47,276.13,Mild Stress
32,6.62,18.3,23.88,143.8,5.0,7,1.5,104.72,Severe Stress
33,5.59,31.73,28.52,204.9,5.4,7,5.08,382.4,Optimal
34,5.02,34.68,28.62,126.0,3.0,10,2.62,178.33,Near Optimal
35,6.05,25.93,30.39,183.2,6.0,14,2.16,264.6,Mild Stress
36,4.93,39.58,35.83,204.6,9.2,10,1.5,165.13,Critical Stress
37,5.71,23.24,28.26,161.2,8.4,8,5.03,418.74,Optimal
38,4.52,25.62,25.37,189.4,7.1,9,2.11,159.0,Moderate Stress
39,4.87,33.01,26.92,127.0,7.5,9,5.16,361.86,Near Optimal
40,5.71,34.61,21.34,168.6,6.3,2,2.05,126.03,Moderate Stress
41,6.01,36.89,24.78,213.6,7.9,13,4.26,354.26,Near Optimal
42,5.69,27.14,25.69,188.6,8.9,13,5.8,439.89,Optimal
43,5.54,35.27,25.32,147.7,4.6,7,7.05,467.57,Optimal
44,5.43,30.02,27.49,192.3,8.0,7,6.94,460.39,Optimal
45,4.79,31.27,24.37,219.3,9.2,4,2.51,110.11,Mild Stress
46,5.2,35.32,30.59,67.3,6.8,9,2.51,257.37,Slight Deviation
47,5.35,33.71,27.0,243.7,8.8,8,5.95,521.14,Optimal
48,6.18,20.08,26.97,161.5,12.0,12,2.58,261.24,Slight Deviation
49,5.79,36.51,25.95,203.4,7.3,1,2.43,114.05,Mild Stress
50,4.63,39.51,27.5,245.8,8.2,2,1.5,80.0,High Stress
51,5.78,26.03,29.64,104.6,6.2,13,3.01,306.06,Slight Deviation
52,5.39,32.31,24.23,141.0,7.8,15,5.87,485.69,Optimal
53,5.23,33.28,24.89,164.1,8.3,13,5.33,413.85,Optimal
54,5.94,29.98,26.03,136.9,7.9,2,3.95,279.37,Near Optimal
55,6.17,25.24,22.69,275.4,5.7,12,2.99,203.16,Slight Deviation
56,6.11,24.81,24.38,132.9,7.9,12,4.77,408.59,Optimal
57,5.14,30.95,25.48,149.4,10.1,11,4.92,391.52,Optimal
58,5.43,36.07,29.8,191.2,8.3,15,2.08,209.94,Moderate Stress
59,5.78,31.88,27.84,113.9,9.2,15,4.94,366.23,Optimal
60,6.14,26.23,27.62,158.2,7.1,8,5.48,397.05,Optimal
61,5.34,34.34,29.72,197.5,8.8,15,2.87,341.45,Slight Deviation
62,5.5,15.76,26.56,161.7,8.0,1,1.5,90.02,Moderate Stress
63,4.99,37.27,28.25,174.9,5.8,4,1.5,92.16,Moderate Stress
64,4.94,22.98,26.67,150.9,8.1,10,2.84,257.1,Slight Deviation
65,6.05,26.54,27.85,96.7,5.7,12,4.96,457.33,Optimal
66,6.35,21.85,25.14,197.7,6.4,5,2.42,200.3,Moderate Stress
67,5.56,23.35,19.2,276.5,7.8,9,1.5,180.88,High Stress
68,6.15,33.85,26.57,181.0,8.0,7,6.45,485.8,Optimal
69,5.8,26.76,31.55,192.4,5.4,8,1.54,172.94,Moderate Stress
70,5.25,32.48,29.96,218.1,9.4,14,2.76,250.27,Slight Deviation
71,5.8,28.87,30.09,110.2,8.5,11,3.04,209.34,Slight Deviation
72,6.45,29.54,30.96,273.6,6.2,9,1.5,129.74,Moderate Stress
73,5.58,30.14,27.28,191.1,4.7,13,4.98,364.13,Optimal
74,6.46,20.71,27.63,269.8,7.2,7,3.27,275.28,Mild Stress
75,4.2,38.88,25.02,139.7,6.7,5,1.64,166.34,Severe Stress
76,6.05,25.88,25.99,280.0,7.7,13,4.58,384.95,Optimal
77,5.65,21.77,28.97,222.6,6.8,15,2.07,199.8,Mild Stress
78,5.44,28.04,30.85,210.4,3.9,5,2.07,226.73,Mild Stress
79,5.65,37.05,26.55,192.9,6.8,10,5.37,387.63,Near Optimal
80,4.51,37.22,25.56,166.3,6.9,11,1.65,208.12,High Stress
81,5.48,28.32,27.0,246.0,8.6,6,7.49,499.13,Optimal
82,5.8,27.35,28.92,187.7,6.2,5,3.34,247.7,Near Optimal
83,6.41,25.66,22.38,71.8,10.5,13,2.96,301.49,Mild Stress
84,5.31,40.95,19.65,118.6,4.1,12,1.5,161.64,Critical Stress
85,5.16,32.93,25.24,169.8,9.9,11,5.01,434.29,Optimal
86,5.32,32.69,23.09,197.0,7.1,9,4.59,292.12,Near Optimal
87,6.1,33.35,25.37,176.9,9.0,3,6.56,381.25,Optimal
88,5.78,30.35,26.53,247.0,7.6,3,7.39,512.64,Optimal
89,5.31,29.27,25.55,72.7,9.6,15,5.75,485.65,Optimal
90,5.88,27.88,31.65,187.9,6.8,7,1.62,242.11,Moderate Stress
91,5.65,29.19,28.05,80.0,5.5,7,5.67,398.59,Optimal
92,6.13,27.92,27.96,221.8,10.1,6,4.17,357.72,Optimal
93,5.21,34.51,28.99,174.8,7.3,3,2.84,129.39,Near Optimal
94,5.42,30.5,23.36,203.1,7.9,14,4.16,312.13,Near Optimal
95,5.38,34.02,30.33,132.5,9.7,13,1.65,234.34,Mild Stress
96,4.8,31.7,26.76,250.4,5.6,7,3.29,192.49,Slight Deviation
97,5.76,29.61,29.15,237.3,8.6,5,5.63,370.89,Near Optimal
98,5.74,19.29,23.57,212.1,6.4,7,3.66,316.45,Mild Stress
99,5.6,34.28,22.03,172.9,7.3,2,1.7,135.54,Mild Stress
100,5.47,31.82,29.62,211.9,7.6,6,4.08,293.19,Near Optimal
101,4.82,37.03,28.2,141.1,4.8,14,1.85,207.28,Moderate Stress
102,5.37,15.91,24.11,227.1,6.1,8,2.2,203.08,Moderate Stress
103,5.41,40.71,24.22,270.7,9.9,1,2.29,165.6,Moderate Stress
104,5.16,30.32,30.6,238.9,9.1,4,1.81,117.47,Mild Stress
105,5.51,35.51,23.19,139.9,7.4,11,3.17,291.21,Slight Deviation
106,5.82,23.84,32.26,199.9,7.9,1,1.5,135.75,Moderate Stress
107,6.64,29.64,24.12,108.9,7.0,14,3.0,284.21,Mild Stress
108,5.7,24.13,29.04,211.5,9.9,1,1.5,100.38,Mild Stress
109,5.74,26.16,25.95,204.8,7.1,10,6.56,490.53,Optimal
110,5.56,39.39,28.93,77.2,7.9,12,2.16,244.9,Mild Stress
111,4.54,31.93,25.26,116.1,9.6,14,1.7,244.75,Moderate Stress
112,5.59,30.82,26.48,164.4,6.1,14,6.74,480.9,Optimal
113,5.63,33.96,27.13,163.5,10.3,11,5.52,400.69,Optimal
114,6.95,28.13,23.79,113.5,4.7,8,1.5,136.78,Severe Stress
115,5.49,30.78,29.37,201.4,10.4,7,3.86,255.96,Slight Deviation
116,5.77,31.01,25.36,193.8,6.8,12,6.51,423.66,Optimal
117,5.58,41.78,26.27,169.3,7.1,10,3.56,179.69,Mild Stress
118,4.96,31.33,23.82,138.4,4.1,13,2.83,315.64,Mild Stress
119,6.23,28.82,18.8,237.7,6.7,1,1.5,80.0,Severe Stress
120,6.01,33.72,26.39,271.0,5.6,11,6.44,529.23,Optimal
121,6.04,33.91,34.72,153.4,6.4,14,1.5,227.88,High Stress
122,5.1,37.14,29.51,146.3,7.3,13,2.78,256.6,Mild Stress
123,6.37,30.58,26.94,207.0,9.2,2,2.65,196.57,Slight Deviation
124,4.83,26.29,26.16,160.3,7.9,4,3.81,275.48,Slight Deviation
125,5.92,36.91,27.07,172.3,8.1,1,3.2,161.44,Slight Deviation
126,6.8,20.37,28.75,220.7,5.5,3,1.5,113.48,High Stress
127,5.06,32.83,23.22,75.0,5.9,8,3.79,257.11,Slight Deviation
128,5.29,26.86,30.57,252.5,10.7,8,1.65,185.89,Mild Stress
129,5.65,29.23,29.29,184.0,6.2,8,4.73,322.77,Near Optimal
130,5.32,32.18,29.3,157.4,10.5,6,2.81,213.22,Slight Deviation
131,4.75,33.86,28.4,175.1,7.1,6,1.73,146.91,Moderate Stress
132,5.64,31.69,27.06,177.9,7.5,5,8.25,539.26,Optimal
133,5.02,39.51,29.15,84.8,9.4,13,1.5,252.19,Moderate Stress
134,5.86,31.19,28.89,262.2,9.8,9,5.24,377.97,Optimal
135,5.09,30.01,25.87,182.3,7.3,4,6.58,469.43,Optimal
136,6.45,31.97,25.16,204.4,6.8,10,3.14,285.2,Slight Deviation
137,5.17,36.94,27.33,232.3,7.4,15,4.34,430.04,Near Optimal
138,5.42,24.1,31.96,123.8,8.1,12,1.5,174.15,Moderate Stress
139,6.05,31.34,23.03,206.0,9.1,12,4.67,400.56,Near Optimal
140,4.92,35.25,22.3,165.3,7.5,12,1.5,183.93,Moderate Stress
141,5.73,27.82,27.53,226.6,8.6,7,7.38,394.17,Optimal
